lema	frecuencia_texto	elelex_encontrado	level_freq@a1	nb_doc@a1	level_freq@a2	nb_doc@a2	level_freq@b1	nb_doc@b1	level_freq@b2	nb_doc@b2	level_freq@c1	nb_doc@c1
escalar	2	sí	0	0	1.7202	2	0.9081	1	11.6277	2	8.5078	1
expansión	2	sí	0	0	2.9415	1	4.8032	2	15.6696	5	52.6565	4
descubrir	2	sí	202.548	9	469.093	53	320.057	50	194.162	24	329.306	23
alcanzar	2	sí	0	0	3.4491	2	30.3282	8	130.039	15	367.514	28
terminar	2	sí	239.892	11	436.101	54	535.947	86	203.76	26	395.584	28
dirección	2	sí	111.932	6	162.175	20	112.586	21	135.611	15	129.764	10
desea	2	no										
hicistir	2	no										
navegar	2	sí	4.0172	1	24.7659	5	12.9464	4	11.6409	2	38.1253	3
aguantir	2	no										
aparte	2	sí	0	0	1.3169	1	2.2836	1	0	0	0	0
vienen	2	no										
crisálida	2	no										
construir	2	sí	111.061	6	103.95	15	88.1284	17	211.981	26	274.165	16
conceder	2	sí	0	0	2.6337	2	16.0455	4	27.8847	5	58.8744	4
perdistir	2	no										
ayuda	2	sí	56.9956	6	173.051	24	158.408	23	192.941	20	210.626	13
solución	2	sí	44.7001	3	50.6823	9	69.1281	12	103.596	12	129.764	10
escuchar	2	sí	365.697	14	354.716	46	424.43	69	206.465	22	78.9848	6
dale	1	no										
contener	1	sí	0	0	17.0415	4	42.0255	10	21.5084	3	105.313	7
recién	1	sí	0	0	12.2507	3	51.5689	9	56.7633	6	235.629	10
nacer	1	sí	126.982	9	416.145	50	354.81	51	246.441	24	473.862	30
convertir	1	sí	7.1507	1	160.412	24	244.784	42	363.362	35	446.394	33
llama	1	sí	131.269	6	59.5962	11	92.5704	16	27.7225	4	28.4142	3
refugio	1	sí	0	0	1.4122	1	5.1144	2	22.7708	3	26.3283	2
cobrar	1	sí	0	0	2.8244	2	13.7205	4	83.7291	9	87.6065	7
protegerno	1	no										
ayudarno	1	no										
fortalecerás	1	no										
trairás	1	no										
preguntado	1	no										
sorprende	1	no										
increíbl	1	no										
cajones	1	no										
suelos	1	no										
puertas	1	no										
descendencia	1	sí	0	0	0	0	0	0	0	0	26.3283	2
ritmazo	1	no										
personal	1	sí	67.8457	5	156.452	21	219.592	31	177.196	17	312.601	19
show	1	sí	4.0172	1	0	0	4.7166	2	3.4456	1	0	0
allá	1	sí	64.356	6	150.954	22	115.501	20	44.6546	6	38.8023	3
tranquilos	1	no										
físicamente	1	no										
relajar él	1	no										
cuéntanos	1	no										
dino	1	no										
tomar	1	sí	951.112	42	904.313	95	989.99	138	474.896	48	731.106	50
afectar	1	sí	0	0	17.2674	3	39.2136	11	160.464	18	68.6465	6
indispuesta	1	no										
dudar	1	sí	0	0	6.939	2	5.5278	2	112.338	13	78.9848	6
guiso	1	sí	0	0	1.9216	1	4.2633	2	0	0	0	0
esperen	1	no										
impresionar él	1	no										
tipo	1	sí	464.178	17	142.907	19	352.536	57	550.916	49	527.017	34
famoso	1	sí	531.147	28	400.005	50	310.993	51	185.483	22	122.226	10
pa	1	no										
jurar	1	sí	7.1507	1	12.9996	3	6.8509	3	0	0	38.8023	2
merecer	1	sí	7.1507	1	11.9663	3	47.711	11	22.0509	3	47.3569	5
vibrar	1	sí	0	0	0	0	0.7908	1	3.4744	1	0	0
gira	1	sí	5.0445	1	2.8244	2	10.6787	3	29.3688	4	25.5235	3
alegría	1	sí	0	0	76.8541	9	83.9559	14	72.2432	9	50.2059	4
encender	1	sí	5.3543	1	73.6986	12	73.9519	15	11.6277	2	65.54	5
encendido	1	sí	0	0	0	0	0	0	3.4456	1	0	0
oiga	1	no										
confundirte	1	no										
hielo	1	sí	7.1507	1	24.9718	4	14.9326	4	34.3554	5	0	0
aguja	1	sí	4.8253	1	2.9415	1	2.8897	2	3.4744	1	0	0
muta	1	no										
enloquecer	1	sí	0	0	2.9415	1	0	0	0	0	25.5235	3
pie	1	sí	363.159	16	241.609	29	88.5632	18	175.432	16	239.875	18
irreal	1	sí	0	0	0	0	0	0	0	0	9.4714	1
belleza	1	sí	8.0344	2	13.4661	3	96.6111	13	60.8873	9	152.501	10
adiós	1	sí	176.162	7	113.55	12	48.9526	9	10.8117	2	9.4714	1
conocer	1	sí	2116.01	88	1459.86	167	1155.01	180	1095.21	106	1026.91	73
permitir	1	sí	22.0981	2	108.505	17	152.395	35	264.372	27	488.845	34
autobiográficar	1	no										
repaso	1	sí	0	0	0.8601	1	0	0	0	0	0	0
tir	1	no										
gobernar	1	sí	0	0	2.9415	1	7.004	3	3.4744	1	9.4714	1
arepa	1	sí	4.954	1	0	0	0.7751	1	0	0	0	0
padre	1	sí	585.965	25	675.505	57	599.901	76	591.932	42	1035.81	44
agustín	1	no										
prir	1	no										
detener	1	sí	39.8986	4	47.5965	8	79.912	17	73.4389	11	104.447	7
reír	1	sí	204.892	13	219.905	34	189.16	37	22.8279	3	77.6046	6
señor	1	sí	195.94	8	240.337	22	189.209	23	82.6021	10	290.089	20
casar él	1	no										
caprichoso	1	sí	0	0	0	0	0.7224	1	17.3266	3	8.5078	1
mil	1	sí	19.9218	2	92.0207	17	139.193	22	89.0354	10	76.2506	6
retirar	1	sí	0	0	24.2812	6	5.5278	2	42.5836	5	50.2059	4
iba	1	no										
entrega	1	sí	0	0	7.0017	3	3.0199	2	39.402	4	17.0156	2
traje	1	sí	23.6015	2	92.383	13	127.183	24	66.2786	9	122.226	7
tien	1	no										
llamar	1	sí	2392.02	81	2310.03	241	1759.85	253	794.925	78	644.284	45
triste	1	sí	153.624	11	225.877	25	234.288	33	27.4406	4	92.4461	8
querida	1	no										
rós	1	no										
carro	1	sí	28.6027	4	67.7155	12	28.1837	8	2.2844	1	0	0
negación	1	no										
arcoíris	1	no										
bandeja	1	sí	0	0	6.9008	2	5.5278	2	17.6055	3	9.4714	1
disculpa	1	sí	0	0	0.1104	1	6.0381	2	15.9925	2	18.9428	2
oy	1	no										
levántalo	1	no										
invitado	1	sí	55.9032	4	34.7437	7	62.9025	9	41.3091	5	205.702	4
llevándose	1	no										
acaso	1	sí	0	0	0	0	8.4144	3	6.8912	2	8.5078	1
ángel	1	sí	5.3543	1	0	0	12.0689	3	3.4456	1	58.8744	4
aplauso	1	sí	0	0	1.1794	1	0	0	0	0	26.3283	2
consejito	1	no										
estorbar	1	no										
estorbós	1	no										
fuercser	1	no										
ovejas	1	no										
extraño	1	sí	56.7746	4	114.771	16	152.29	26	147.647	13	112.745	10
rodeado	1	no										
sentíar	1	no										
papi	1	sí	35.7533	5	35.2984	6	4.5672	2	0	0	0	0
comprendo	1	no										
come	1	no										
decoracer	1	no										
podría	1	no										
olvidser	1	no										
olvid	1	no										
póngansir	1	no										
limpien	1	no										
tiple	1	no										
decoración	1	sí	0	0	13.1789	3	12.8823	5	17.7241	3	8.5078	1
sorpresa	1	sí	74.0276	5	117.856	15	57.0485	14	57.2055	8	76.2506	5
apoyar	1	sí	20.7186	2	16.1627	4	60.2608	13	115.392	13	114.376	9
obsequio	1	sí	0	0	6.3153	2	0	0	0	0	0	0
autodestruier	1	no										
agarra	1	no										
recibirás	1	no										
abrirás	1	no										
caso	1	sí	189.134	12	457.829	42	220.645	50	439.768	42	706.887	38
quedariar	1	no										
sería	1	no										
tuviera	1	no										
extrañar	1	sí	35.6953	3	50.7273	8	24.8607	6	37.7185	5	26.3283	2
compañero	1	sí	793.357	32	284.178	32	252.393	41	247.409	21	368.043	22
animal	1	sí	195.169	9	158.753	25	113.217	36	304.009	25	456.515	20
cambiser	1	no										
tenga	1	no										
ok	1	sí	0	0	6.9008	2	0	0	0	0	0	0
parcerito	1	no										
gozar	1	sí	0	0	1.0067	1	22.0187	5	36.2886	5	58.8744	5
celebrar	1	sí	304.58	12	216.576	33	293.094	63	109.084	13	317.792	19
siga	1	no										
abriendo	1	no										
colar	1	sí	0	0	0	0	0.8664	2	22.575	3	9.4714	1
alegre	1	sí	85.2514	4	63.9292	10	39.7853	10	10.3369	3	26.3283	2
ganar	1	sí	131.778	7	525.602	58	238.491	43	283.263	30	263.326	19
real	1	sí	7.1507	1	30.9758	8	25.7251	7	72.6997	9	144.855	10
mírate	1	no										
pepe	1	sí	0	0	0	0	0	0	3.4456	1	18.9428	1
empapado	1	no										
niña	1	sí	0	0	1.0067	1	0	0	0	0	0	0
esperarer	1	no										
callo	1	sí	0	0	2.9415	1	7.8915	6	0	0	9.4714	1
cincuenta	1	sí	4.8253	1	0	0	0	0	0	0	0	0
honor	1	sí	0	0	5.8969	4	28.9814	8	15.5404	3	64.8818	5
reunir	1	sí	43.6183	3	75.9966	13	110.335	22	73.4951	9	117.749	10
luz	1	sí	59.591	4	121.039	18	226.945	36	162.138	16	289.611	18
llenir	1	no										
usará	1	no										
honrar	1	sí	0	0	0	0	1.2931	1	0	0	8.5078	1
dudé	1	no										
foto	1	sí	407.612	14	352.118	37	239.859	35	248.983	18	66.2997	5
vengar	1	sí	35.7751	2	22.2338	5	77.3037	14	105.271	12	18.9428	1
ey	1	no										
contemplo	1	no										
mover	1	sí	42.2053	3	109.448	16	81.9407	17	140.699	14	157.61	10
florecer	1	sí	0	0	1.0067	1	1.2931	1	4.5688	2	9.4714	1
tendré	1	no										
controlo	1	no										
vendaval	1	no										
pena	1	sí	22.1961	2	112.372	16	92.603	16	85.4147	10	171.225	11
empiezo	1	no										
invisible	1	sí	7.1507	1	0	0	0	0	0.0607	1	48.776	2
corredor	1	sí	7.1507	1	1.0067	1	0	0	0	0	17.0156	1
añorar	1	sí	0	0	2.9415	1	2.2836	1	0	0	0	0
ábrelo	1	no										
moveré	1	no										
sanar	1	no										
quebranto	1	no										
valor	1	sí	19.3014	3	12.8593	4	69.331	15	99.8646	17	286.084	18
véanme	1	no										
paciente	1	sí	4.954	1	25.0263	7	21.5362	5	6.9489	2	51.0469	4
obtener	1	sí	4.0172	1	80.5223	14	53.1387	12	247.637	26	353.444	23
bendiciones	1	no										
milagroso	1	sí	0	0	0	0	0.9081	1	0	0	18.9428	2
teja	1	sí	0	0	0	0	0.7224	1	1.826	1	0	0
enséñame	1	no										
vi	1	no										
suficiente	1	sí	21.4995	2	31.4679	8	42.5335	8	182.429	15	38.1253	3
trago	1	sí	0	0	6.9008	2	3.4251	2	0	0	9.4714	1
pongan	1	no										
imaginación	1	sí	0	0	16.3903	4	33.1214	6	15.2093	2	68.6465	6
cortar	1	sí	3.0086	1	43.7485	15	86.0166	20	82.5705	10	139.428	11
dañar él	1	no										
creser	1	no										
súper	1	sí	4.8253	1	5.8831	2	1.2931	1	3.4456	1	0	0
divinamente	1	no										
señorita	1	sí	0	0	0	0	4.8739	2	0	0	0	0
hermoso	1	sí	54.6804	5	112.519	17	61.8929	13	51.2554	5	65.54	5
cabello	1	sí	7.1507	1	1.4122	1	19.1233	5	3.4456	1	38.1253	2
pudiera	1	no										
perfectar	1	no										
herida	1	sí	0	0	7.5311	2	9.6404	3	0	0	78.9848	5
arepita	1	no										
queso	1	sí	43.9024	3	67.5629	12	46.3679	10	21.6396	4	8.5078	1
sané	1	no										
herido	1	sí	0	0	10.9835	2	0	0	0	0	0	0
maravillosamente	1	no										
gafa	1	no										
sentirar	1	no										
mañana	1	sí	499.911	23	557.019	61	264.804	46	225.112	16	122.226	9
grietas	1	no										
cuán	1	no										
vulnerable	1	sí	0	0	0	0	0	0	10.8198	2	8.5078	1
agoniza	1	no										
ábre	1	no										
encontrar él	1	no										
idea	1	sí	223.636	10	373.202	38	439.969	64	479.451	38	274.165	20
mayor	1	sí	475.472	23	378.982	46	406.476	63	612.645	60	574.968	33
favorita	1	sí	0	0	0	0	0.4365	1	0	0	0	0
contar tú	1	no										
contar yo	1	no										
fingir	1	sí	0	0	2.9415	1	1.2931	1	1.826	1	0	0
dolor	1	sí	31.6329	3	125.976	16	92.3286	14	139.613	11	92.0413	7
repetir	1	sí	0	0	70.8572	11	66.334	14	88.3281	12	141.296	11
preocupado	1	no										
muro	1	sí	73.2846	4	11.6688	3	10.1609	3	6.8912	2	8.5078	1
regocijar	1	no										
calentar	1	sí	6.0172	1	12.0765	4	18.6878	5	3.4456	1	0	0
silla	1	sí	112.421	5	51.0513	7	37.5343	8	40.9397	6	64.8818	5
gracia	1	sí	361.329	19	385.474	40	373.352	54	153.743	15	123.128	10
encontrarer	1	no										
ansiós	1	no										
atención	1	sí	4.954	1	41.5878	8	98.6474	19	117.55	13	314.784	19
echo	1	no										
trabajar	1	sí	1367.19	50	1232.15	128	781.1	127	1036.8	97	415.855	30
doble	1	sí	4.8253	1	19.7744	4	2.7169	2	22.8279	4	91.3883	6
aviso	1	sí	5.3543	1	14.4386	4	9.1558	3	27.2642	4	9.4714	1
matrimonio	1	sí	10.0891	2	0.5799	1	42.3888	9	107.269	10	190.626	9
fecha	1	sí	5.0445	1	68.8759	11	68.2823	14	113.454	13	166.878	11
joven	1	sí	403.917	17	328.137	41	332.954	45	262.975	22	175.213	10
guapo	1	sí	199.126	10	176.42	28	127.448	26	35.352	6	66.2997	4
ambos	1	sí	0	0	17.4761	5	20.79	6	18.4738	4	157.97	12
reencauzar	1	no										
espérate	1	no										
debes	1	no										
escond	1	no										
irte	1	no										
inclinar	1	sí	0	0	0	0	0.7224	1	31.2609	5	9.4714	1
tenías	1	no										
permiso	1	sí	14.3013	2	9.335	3	43.9372	10	57.4437	7	38.8023	3
cuéntamar	1	no										
obvio	1	sí	0	0	0	0	2.5862	2	17.5355	3	38.8023	3
decir yo	1	no										
guau	1	no										
gritar	1	sí	100.109	10	59.7908	10	67.6193	14	64.2989	8	38.8023	3
imparable	1	sí	0	0	0	0	0.7908	1	11.6409	2	0	0
risco	1	sí	0	0	0	0	0.9081	1	0	0	0	0
tierra	1	sí	4.8253	1	232.012	29	372.629	47	276.794	21	354.253	22
aguante	1	sí	0	0	0	0	0	0	0	0	9.4714	1
valle	1	sí	56.4588	4	20.856	4	48.9484	8	46.2779	5	28.4142	3
totalmente	1	no										
preguntar	1	sí	243.388	12	737.64	79	677.2	101	345.542	38	334.228	25
ejecuto	1	no										
coraza	1	no										
hierro	1	sí	5.0445	1	1.4122	1	14.8654	5	10.4233	3	9.4714	1
rocas	1	no										
diamante	1	sí	0	0	0.5799	1	0	0	6.8912	2	0	0
fundir	1	sí	0	0	0	0	0.7224	1	0	0	18.9428	2
partir	1	sí	0	0	0	0	10.6787	3	6.8912	2	65.54	5
aplasto	1	no										
comienzo	1	sí	9.9079	1	12.7962	3	12.7933	4	52.6875	7	38.8023	3
truco	1	sí	0	0	6.6599	2	17.9828	6	1.826	1	17.0156	2
cuerda	1	sí	7.1507	1	6.2487	2	9.4693	3	0	0	18.9428	2
flojo	1	sí	0	0	0	0	0	0	0	0	9.4714	1
marcar	1	sí	72.8655	5	93.391	14	121.736	22	111.833	12	92.0413	7
rumbo	1	sí	0	0	13.9308	3	0	0	3.4744	1	0	0
hércules	1	sí	0	0	0	0	0.9081	1	0	0	0	0
renuncio	1	no										
nulo	1	sí	0	0	0	0	2.2836	1	0	0	9.4714	1
escucho	1	no										
crack	1	sí	0	0	1.0521	1	0	0	0	0	0	0
tronar	1	no										
desmoronar	1	sí	0	0	0	0	0	0	0	0	8.5078	1
pon	1	no										
aguantamos	1	no										
balón	1	sí	0	0	1.9216	1	13.8092	3	11.3435	2	0	0
ceder	1	sí	5.3543	1	2.9415	1	0.1126	1	2.6116	1	8.5078	1
resistir	1	sí	0	0	2.9415	1	12.0762	4	34.3684	4	0	0
fallo	1	sí	0	0	0	0	5.3308	2	2.2844	1	8.5078	1
soportar	1	sí	5.3543	1	18.2794	4	89.4644	17	102.131	11	89.1746	7
quebrar	1	sí	0	0	0	0	1.2931	1	12.2342	2	17.0156	2
inquietar	1	sí	0	0	0	0	0	0	3.4456	1	8.5078	1
barco	1	sí	270.289	11	93.139	16	136.736	17	13.7825	3	18.9428	2
virar	1	no										
rotundo	1	sí	0	0	0	0	0	0	0	0	9.4714	1
imagen	1	sí	255.386	8	90.4601	14	205.303	32	322.738	24	450.222	28
infundo	1	no										
levanto	1	no										
dominó	1	sí	14.3013	2	0	0	0.4365	1	3.4456	1	8.5078	1
alineación	1	no										
resoplar	1	no										
derribar	1	sí	0	0	0	0	0.7224	1	11.3435	2	8.5078	1
podré	1	no										
desvanecer	1	no										
cruel	1	sí	0	0	0	0	1.125	2	1.826	1	38.8023	3
expectativa	1	sí	0	0	0	0	4.2521	2	11.6277	2	26.3283	2
esparcimiento	1	sí	0	0	0.022	1	0	0	0	0	0	0
simple	1	sí	0	0	6.087	2	29.7037	7	44.6098	5	131.641	10
aumento	1	sí	0	0	1.0067	1	25.9959	6	73.7018	9	127.617	10
impongar	1	no										
ignorar	1	sí	0	0	1.4122	1	2.5862	2	3.4456	1	26.3283	2
sostener	1	sí	0	0	0	0	4.8674	2	14.4001	4	52.6565	4
ve	1	sí	14.3013	1	31.8474	7	52.9592	11	22.6647	4	37.8856	4
sufrimiento	1	sí	0	0	0	0	8.4144	3	3.4744	1	38.8023	3
doblar él	1	no										
torcer él	1	no										
chispar	1	no										
fallar	1	sí	4.8253	1	0	0	6.6619	3	3.4744	1	26.3283	2
preguntarte	1	no										
aplastarte	1	no										
desplomar	1	sí	0	0	0	0	0	0	2.2844	1	8.5078	1
beso	1	sí	233.956	13	250.168	34	116.937	23	79.3674	9	89.1746	5
débil	1	sí	0	0	1.0067	1	10.2422	3	22.0551	3	28.4142	3
refier	1	no										
adulto	1	sí	75.4508	5	56.396	10	57.1827	13	35.071	4	51.0469	3
comprenderás	1	no										
encuentra	1	no										
pareja	1	sí	214.204	10	69.3149	12	282.636	30	183.723	22	509.349	17
parir	1	sí	0	0	1.3169	1	0.9081	1	2.2844	1	9.4714	1
mila	1	no										
bacano	1	no										
bienvenida	1	sí	0	0	6.5398	2	18.4018	5	0	0	9.4714	1
quanta	1	no										
gallina	1	sí	0	0	23.9506	5	25.8244	6	30.2241	3	47.3569	4
vacío	1	sí	4.0172	1	20.8063	5	36.6904	8	17.3633	3	9.4714	1
urgencia	1	sí	0	0	19.7744	4	0	0	11.3324	2	52.6565	3
salistar	1	no										
pelir	1	no										
estuvir	1	no										
conversar	1	sí	0	0	18.3784	5	37.4419	8	0	0	9.4714	1
cargo	1	sí	4.954	1	1.4122	1	7.7932	2	41.3854	5	174.169	11
tratar	1	sí	29.3409	3	84.3843	14	132.193	36	494.231	49	447.872	31
retrasar	1	sí	0	0	1.3169	1	0	0	11.3324	2	8.5078	1
decepcionacer	1	no										
establo	1	no										
pesado	1	no										
hiciste	1	no										
dijistir	1	no										
ah	1	sí	415.474	20	391.851	41	234.24	43	72.3371	7	0	0
recoger	1	sí	79.884	4	135.631	20	174.502	30	59.2153	8	92.0413	6
compromiso	1	sí	5.0445	1	33.1434	6	32.0295	8	41.5816	5	68.0625	6
estés	1	no										
suspéndelo	1	no										
mencionar	1	sí	0	0	30.1318	4	10.2422	3	43.3595	5	91.3883	7
causar	1	sí	0	0	6.671	3	17.3151	5	66.456	8	76.2506	6
lluvia	1	sí	58.0892	4	86.1892	11	53.1008	11	54.3827	7	28.4142	3
soleado	1	no										
bru	1	no										
hipotético	1	sí	0	0	0	0	0	0	0	0	9.4714	1
hubierar	1	no										
olvídalo	1	no										
general	1	sí	115.627	8	163.132	18	132.416	23	183.045	19	223.162	16
pesadilla	1	sí	0	0	8.9175	4	15.7915	5	1.826	1	0	0
pepi	1	no										
terrible	1	sí	35.7751	2	84.0823	11	96.2484	19	35.6151	5	91.3883	7
entendiera	1	no										
pasar tú	1	no										
insinuar	1	sí	0	0	0	0	0	0	2.2844	1	18.9428	2
sabrás	1	no										
balbucear	1	no										
tropezar	1	sí	0	0	4.0268	3	0	0	10.3369	3	0	0
recordar	1	sí	253.745	12	258.13	35	412.868	62	359.586	35	327.033	23
murmurar	1	sí	7.1507	1	1.0521	1	12.1258	4	0	0	0	0
farfullar	1	no										
resbalar	1	sí	0	0	0	0	0.9081	1	0	0	9.4714	1
visualizar	1	no										
temblar	1	sí	0	0	12.0475	5	4.5672	2	3.4456	1	9.4714	1
interpretar	1	sí	7.1507	1	35.3296	7	28.3324	7	34.3684	4	50.2059	4
terror	1	sí	0	0	12.1758	3	2.6912	2	1.826	1	8.5078	1
faz	1	no										
marcha	1	sí	0	0	38.5511	8	37.7787	8	102.49	11	51.0469	5
atrás	1	sí	0	0	22.108	6	36.2907	8	100.466	11	64.8818	5
grita	1	sí	125.228	8	15.3255	5	15.8649	4	0	0	48.776	2
tiembl	1	no										
morir	1	sí	158.151	10	436.797	51	286.517	54	242.539	25	349.262	26
serás	1	no										
panzón	1	no										
pelo	1	sí	70.818	4	179.569	21	224.17	32	70.8476	10	102.635	8
mírame	1	no										
gentil	1	sí	0	0	1.0067	1	2.2836	1	3.4456	1	0	0
uva	1	sí	7.1507	1	32.6415	5	12.4498	4	0	0	17.0156	1
madurar	1	sí	0	0	0	0	8.4144	3	3.4744	1	0	0
pactado	1	no										
lazo	1	sí	0	0	1.3169	1	6.0381	2	0	0	18.9428	2
denme	1	no										
puro	1	sí	53.3151	3	65.2532	11	48.534	10	19.5655	5	92.0413	6
llegaron	1	no										
habler	1	no										
miraboo	1	no										
lista	1	sí	23.1041	2	49.5712	9	75.4369	15	55.7694	10	144.855	9
siento	1	no										
meter	1	sí	7.1507	1	126.703	16	138.843	27	173.522	20	112.745	10
encontré	1	no										
peligrar	1	sí	0	0	0	0	0.9081	1	3.4744	1	0	0
agonizo	1	no										
metistar	1	no										
secreto	1	sí	14.8619	3	20.6523	4	61.9504	14	42.59	4	50.2059	4
miércoles	1	no										
esperer	1	no										
desastre	1	sí	0	0	12.7741	5	12.3377	4	17.6055	3	151.258	5
salud	1	sí	36.9479	3	151.405	18	117.175	16	212.961	17	182.777	10
aguacate	1	sí	4.954	1	7.061	2	24.643	6	17.3633	3	0	0
cara	1	sí	129.065	7	257.235	33	186.908	31	202.312	20	438.51	23
agua	1	sí	372.643	12	381.195	36	341.73	43	450.851	28	401.647	30
despejado	1	no										
orden	1	sí	55.9262	3	26.0268	6	73.991	13	49.4777	6	235.629	11
contentar	1	sí	5.3543	1	11.7727	4	1.2931	1	0	0	0	0
inmediatamente	1	no										
quiero	1	no										
talento	1	sí	55.947	3	3.9284	2	9.9256	4	14.4318	4	0	0
extraer	1	sí	0	0	2.9415	1	30.1454	7	17.7241	3	58.8744	4
tradición	1	sí	193.336	12	140.978	21	136.267	25	68.8473	9	205.702	13
cantar	1	sí	253.365	15	320.302	37	156.11	32	48.4317	7	183.339	14
divino	1	sí	0	0	12.3299	3	25.6896	7	12.2342	2	0	0
casartir	1	no										
perdido	1	sí	0	0	0	0	4.2561	2	2.6116	1	0	0
explicación	1	sí	5.3543	1	57.2748	10	30.2885	7	58.2933	7	78.9848	6
hir	1	no										
inhala	1	no										
exhalar	1	no										
ayudame	1	no										
sudado	1	no										
vale	1	sí	5.3543	1	2.9415	1	0	0	0	0	0	0
tomastar	1	no										
volvistir	1	no										
suponía	1	no										
azúcar	1	sí	85.2514	4	97.8454	14	50.1976	8	96.3495	8	65.54	3
sana	1	no										
reparar	1	sí	0	0	11.6688	3	6.2015	2	3.4744	1	38.1253	3
reparación	1	sí	0	0	6.1298	2	9.1919	3	17.3633	2	0	0
obra	1	sí	128.66	7	232.301	33	192.17	35	332.744	37	548.33	27
jorge	1	no										
preparo	1	no										
mezcla	1	sí	82.9336	4	45.5612	7	45.5832	10	35.6151	5	52.6565	4
vivar	1	no										
eh	1	sí	23.3175	2	24.2952	4	39.632	9	22.8279	4	28.4142	3
cocina	1	sí	587.043	24	356.005	37	391.116	53	196.906	15	210.519	13
entretenimiento	1	sí	0	0	1.1794	1	1.2931	1	18.4738	4	8.5078	1
deporte	1	sí	743.667	35	341.128	40	200.482	32	151.743	16	91.3883	6
concurso	1	sí	22.0981	2	125.439	18	97.7408	17	77.7547	8	9.4714	1
telenovelas	1	no										
amnesia	1	no										
relación	1	sí	163.187	7	186.718	23	229.363	38	410.161	35	521.869	30
montaña	1	sí	280.182	16	230.045	33	103.63	18	116.485	12	76.2506	6
rodear	1	sí	60.6137	5	109.507	17	99.7532	19	84.4357	10	128.042	10
sabrosa	1	no										
llenar	1	sí	7.1507	1	38.3889	7	36.2339	7	50.1601	6	0	0
irtar	1	no										
tener él	1	no										
diriar	1	no										
detener yo	1	no										
dímelo	1	no										
decírtelo	1	no										
suplicar	1	sí	0	0	0	0	5.3308	2	3.4744	1	0	0
decidido	1	no										
proteger yo	1	no										
equivocar	1	sí	0	0	7.6864	4	52.1119	10	48.6887	8	38.1253	3
créeme	1	no										
desear	1	sí	39.4335	3	153.975	20	125.666	21	76.002	9	434	30
podrías	1	no										
eel	1	no										
descansar	1	sí	216.252	9	116.901	16	135.964	21	65.718	8	26.3283	2
hombro	1	sí	3.0086	1	32.4436	6	12.2821	4	44.3153	7	26.3283	2
tengar	1	no										
mostrar	1	sí	103.934	6	112.528	19	109.184	24	196.8	24	250.283	16
destruir	1	sí	0	0	28.7184	6	13.8996	6	43.1053	6	38.1253	3
cueir	1	no										
división	1	sí	0	0	2.9415	1	0	0	3.4456	1	17.0156	2
espacio	1	sí	56.4588	4	69.7827	14	134.076	22	240.929	24	299.914	18
buscarer	1	no										
use	1	no										
quieto	1	sí	0	0	0	0	0.7224	1	20.908	4	0	0
debiste	1	no										
decirmelo	1	no										
calmate	1	no										
agradecer	1	sí	4.954	1	28.8825	6	57.7281	13	10.4464	4	132.9	11
poner él	1	no										
ansiosa	1	no										
buscanla	1	no										
apurar tú	1	no										
apresurar	1	no										
matar	1	sí	83.7931	6	21.2701	4	77.0754	17	65.9713	8	197.584	14
rara	1	no										
fama	1	sí	71.5901	4	19.0465	4	54.173	11	32.4594	6	26.3283	2
lograr él	1	no										
nervio	1	sí	0	0	6.3153	2	7.8619	3	49.2402	5	8.5078	1
agarr	1	no										
desordenado	1	no										
va	1	sí	0	0	0	0	5.1723	4	4.5688	2	0	0
dar él	1	no										
veo	1	no										
supistar	1	no										
fastidiós	1	no										
rosa	1	sí	43.8046	3	31.6273	5	33.4668	7	65.6209	7	28.4142	3
temes	1	no										
visitame	1	no										
volverás	1	no										
lograrás	1	no										
diferencia	1	sí	4.0172	1	77.6164	11	53.3647	12	137.047	13	91.3883	6
démonos	1	no										
dartir	1	no										
levantar	1	sí	249.296	14	251.836	34	252.147	40	302.146	29	77.6046	6
empanada	1	sí	47.9679	5	0	0	45.1763	12	0	0	0	0
nariz	1	sí	0	0	1.9216	1	40.575	10	119.231	12	92.0413	5
aplastado	1	no										
papaya	1	sí	0	0	18.9241	5	2.2836	1	0	0	0	0
locar	1	no										
molestar	1	sí	0	0	27.1224	6	116.219	22	91.7141	11	47.3569	5
pídeme	1	no										
hacer yo	1	no										
pidemelir	1	no										
seas	1	no										
fantástical	1	no										
pretender	1	sí	0	0	0.1424	1	2.9493	2	56.3949	10	117.814	9
arruinarte	1	no										
peor	1	sí	35.3204	3	108.58	17	84.4609	13	232.86	22	143.298	11
princesa	1	sí	0	0	1.1794	1	48.6283	8	34.4562	4	18.9428	2
exigido	1	no										
casar	1	sí	356.127	14	292.409	37	144.796	29	105.654	13	289.709	17
novio	1	sí	217.34	10	256.484	29	110.663	20	67.1239	7	524.179	19
escrito	1	sí	0	0	1.1599	2	18.2708	5	7.8348	3	0	0
casar yo	1	no										
damar	1	no										
efecto	1	sí	7.1507	1	20.9812	5	82.0695	16	146.565	15	215.557	16
audaz	1	no										
impresión	1	sí	0	0	7.5311	2	16.7944	5	52.3366	7	0	0
simétrico	1	sí	0	0	0	0	2.5862	2	0	0	17.0156	1
abrazos	1	no										
rosas	1	no										
mayo	1	no										
patio	1	sí	53.2817	4	30.3409	6	33.4943	8	30.2241	4	65.54	4
pos	1	no										
hermosa	1	no										
