lema	frecuencia_texto	elelex_encontrado	level_freq@a1	nb_doc@a1	level_freq@a2	nb_doc@a2	level_freq@b1	nb_doc@b1	level_freq@b2	nb_doc@b2	level_freq@c1	nb_doc@c1
futuro	6	sí	21.9512	2	45.9514	8	206.103	31	87.741	12	176.623	9
hey	6	no										
gracias	6	no										
listo	6	sí	0	0	8.5118	3	23.9331	6	3.4456	1	37.8856	4
isa	6	no										
mamá	6	sí	421.393	16	161.759	21	161.586	26	24.3369	5	0	0
cuarto	6	sí	7.1507	1	153.134	20	132.664	18	65.3839	4	34.0313	4
puerta	6	sí	162.853	9	555.964	46	369.195	46	204.449	20	339.089	15
seguir	6	sí	413.31	20	631.803	72	839.672	133	689.994	71	454.173	33
vas	6	sí	4.8253	1	6.4847	2	15.0691	4	10.8117	2	66.2997	6
daño	6	sí	0	0	2.0134	2	19.9989	5	22.8279	2	87.0846	7
huracán	6	sí	0	0	2.9415	1	0.7224	1	0	0	26.3283	2
espera	6	sí	5.3543	1	20.9667	4	22.9659	6	3.4456	1	28.4142	3
mirar	6	sí	1205.45	47	1237.97	138	1077.17	151	400.621	41	245.584	20
grieta	6	sí	0	0	0	0	0	0	0	0	18.9428	2
intentar	6	sí	42.2687	3	162.83	23	266.162	49	526.826	53	266.877	20
profundo	6	sí	5.3543	1	8.8246	3	23.4136	5	55.2672	7	25.5235	3
culpa	6	sí	7.1507	1	2.9415	1	22.9634	5	58.0517	8	71.7298	6
inspiración	6	sí	0	0	0	0	10.6787	3	6.8912	2	8.5078	1
abuelo	5	sí	548.673	24	170.487	18	139.758	23	76.5826	7	87.0846	5
bendecir	5	sí	0	0	0	0	0	0	0	0	8.5078	1
asombroso	5	sí	0	0	0	0	5.1144	2	0	0	17.0156	2
favor	5	sí	5.0445	1	6.4082	2	43.2849	7	57.1334	6	104.185	9
tía	5	sí	5.0445	1	0	0	0	0	0	0	0	0
julieta	5	no										
amar	5	sí	73.7229	5	26.1409	6	60.2872	11	67.0648	10	38.1253	3
camilo	5	sí	0	0	1.3169	1	0	0	0	0	0	0
flor	5	sí	134.474	8	223.078	26	244.086	32	24.1194	6	166.878	12
alguien	5	sí	134.981	7	403.988	36	492.797	63	491.687	42	481.721	31
alto	5	sí	493.258	21	406.351	54	409.281	65	356.612	39	603.937	35
